46201;46400;16348
46401;46600;16462
46601;46800;16576
46801;47000;16690
47001;47200;16804
47201;47400;16918
47401;47600;17032
47601;47800;17146
47801;48000;17260
48001;48200;17374
48201;48400;17488
48401;48600;17602
48601;48800;17716
48801;49000;17830
49001;49200;17944
49201;49400;18058
49401;49600;18172
49601;49800;18286
49801;50000;18400
50001;50200;18514
50201;50400;18628
50401;50600;18742
50601;50800;18856
50801;51000;18970
51001;51200;19084
51201;51400;19203
51401;51600;19327
51601;51800;19451
51801;52000;19575
52001;52200;19699
52201;52400;19823
52401;52600;19947
52601;52800;20071
52801;53000;20195
53001;53200;20319
53201;53400;20443
53401;53600;20567
53601;53800;20691
53801;54000;20815
54001;54200;20939
54201;54400;21063
54401;54600;21187
54601;54800;21311
54801;55000;21435
55001;55200;21559
55201;55400;21683
55401;55600;21807
55601;55800;21931
55801;56000;22055
56001;56200;22179
56201;56400;22303
56401;56600;22427
56601;56800;22551
56801;57000;22675
57001;57200;22799
57201;57400;22923
57401;57600;23047
57601;57800;23171
57801;58000;23295
58001;58200;23419
58201;58400;23543
58401;58600;23667
58601;58800;23791
58801;59000;23915
59001;59200;24039
59201;59400;24163
59401;59600;24287
59601;59800;24411
59801;60000;24535
60001;60200;24659
60201;60400;24783
60401;60600;24907
60601;60800;25031
60801;61000;25155
61001;61200;25279
61201;61400;25403
61401;61600;25527
61601;61800;25651
61801;62000;25775
62001;62200;25899
62201;62400;26023
62401;62600;26147
62601;62800;26271
62801;63000;26395
63001;63200;26519
63201;63400;26643
63401;63600;26767
63601;63800;26891
63801;64000;27015
64001;64200;27139
64201;64400;27263
64401;64600;27387
64601;64800;27511
64801;65000;27635
65001;65200;27759
65201;65400;27883
65401;65600;28007
65601;65800;28131
65801;66000;28255
66001;66200;28379
66201;66400;28503
66401;66600;28627
66601;66800;28751
66801;67000;28875
67001;67200;28999
67201;67400;29123
67401;67600;29247
67601;67800;29371
67801;68000;29495
68001;68200;29619
68201;68400;29743
68401;68600;29867
68601;68800;29991
68801;69000;30115
69001;69200;30239
69201;69400;30363
69401;69600;30487
69601;69800;30611
69801;70000;30735
70001;70200;30859
70201;70400;30983
70401;70600;31107
70601;70800;31231
70801;71000;31355
71001;71200;31479
71201;71400;31603
71401;71600;31727
71601;71800;31851
71801;72000;31975
72001;72200;32099
72201;72400;32223
72401;72600;32347
72601;72800;32471
72801;73000;32595
73001;73200;32719
73201;73400;32843
73401;73600;32967
73601;73800;33091
73801;74000;33215
74001;74200;33339
74201;74400;33463
74401;74600;33587
74601;74800;33711
74801;75000;33835
75001;75200;33959
75201;75400;34083
75401;75600;34207
75601;75800;34331
75801;76000;34455
76001;76200;34579
76201;76400;34703
76401;76600;34827
76601;76800;34951
76801;77000;35075
77001;77200;35199
77201;77400;35323
77401;77600;35447
77601;77800;35571
77801;78000;35695
78001;78200;35819
78201;78400;35943
78401;78600;36067
78601;78800;36191
78801;79000;36315
79001;79200;36439
79201;79400;36563
79401;79600;36687
79601;79800;36811
79801;80000;36935
80001;81600;46
81601;82600;47
82601;82800;47
82801;87200;47
87201;88000;48
88001;88600;48
88601;89200;48
89201;93800;48
93801;94200;49
94201;97000;49
97001;101200;49
101201;106200;50
106201;107200;50
107201;109200;50
109201;110000;50
110001;117400;51
117401;118800;51
118801;120000;51
120001;120600;51
120601;130000;52
130001;131200;52
131201;133200;52
133201;136000;53
136001;143800;53
143801;148800;53
148801;156800;54
156801;160600;54
160601;168800;54
168801;171800;55
171801;182200;55
182201;185400;55
185401;194800;55
194801;203000;56
203001;210200;56
210201;226600;56
226601;230200;56
230201;248000;57
248001;248400;57
248401;281400;57
281401;291400;58
291401;303600;58
303601;319000;58
319001;361800;58
361801;390400;59
390401;408000;59
408001;446600;59
446601;506400;59
506401;546600;60
546601;680000;60
680001;744400;60
744401;844200;60
844201;911000;61
911001;2040000;61
2040001;2233400;61
2233401;2532800;61
2532801;2733400;62
2733401;0;62
